numberSchedulings=5523300
num_drones, instantiation_time [sec], optimization_times [sec], feasibility
1, 48.589216715, 275.880105552, 1.0
2, 8.006935474, 373.623846509, 1.0
3, 20.524714228, 1478.195127964, 1.0
4, 63.219990374, 332.744406006, 1.0
5, 78.357900491, 260.122174234, 1.0
6, 150.864579766, 902.532078436, 1.0
7, 376.178243662, 398.941944144, 1.0
8, 889.865267587, 1118.95713663, 1.0
9, 1699.006200034, 1538.93665196, 1.0
10, 2835.704857971, 1473.624061775, 1.0
11, 4520.143019568, 2255.734592998, 1.0
12, 8404.436401056, 2846.472906767, 1.0
