T, instantiation_time [sec], optimization_times [sec], numberSchedulings, feasibility
2, 0.041275333, 0.028900199, 4.0, 1.0
4, 0.044566899, 0.038531579, 36.0, 1.0
6, 0.125191584, 0.884455828, 400.0, 1.0
8, 0.057494917, 0.347761714, 4900.0, 1.0
10, 0.1253602, 0.814166137, 63504.0, 1.0
12, 0.384737887, 0.945083705, 853776.0, 1.0
14, 0.195725096, 3.128065052, 1.1778624e7, 1.0
16, 1.440630792, 16.101536982, 1.656369e8, 1.0
18, 0.608917074, 18.054492107, 2.3639044e9, 1.0
20, 0.689311405, 19.964096013, 3.4134779536e10, 1.0
22, 60.026531992, 98.710842218, 4.97634306624e11, 1.0
24, 1.402219308, 393.665445925, 7.312459672336e12, 1.0
26, 2.494974213, 351.247031344, 1.0817248036e14, 1.0
28, 2.839054634, 2037.170254811, 1.60934159556e15, 1.0
30, 3.772666991, 3284.713340124, 2.40614450109504e16, 1.0
